from_label_id,from_label,from_token_text,from_token_stanza_pos,from_token_stanza_dep,from_token_ckip_pos,to_label_id,to_label,to_token_text,to_token_stanza_pos,to_token_stanza_dep,to_token_ckip_pos,relation_label,direction
BIgQELnoJj,OPINION_OPR,喊話,VERB,root,VA,llZUWDVNhc,OPINION_SEG,升溫,VERB,parataxis,VH,OPR->SEG,right
BIgQELnoJj,OPINION_OPR,喊話,VERB,root,VA,llZUWDVNhc,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
qL-ReMplQc,OPINION_OPR,表示,VERB,root,VE,Lri7RrBBQj,OPINION_SRC,蔡,PROPN,nsubj,Nb,OPR->SRC,left
qL-ReMplQc,OPINION_OPR,表示,VERB,root,VE,Lri7RrBBQj,OPINION_SRC,文,PART,nsubj,Na,OPR->SRC,left
qL-ReMplQc,OPINION_OPR,表示,VERB,root,VE,xCfqDulnox,OPINION_SEG,止,VERB,ccomp,Ng,OPR->SEG,right
qL-ReMplQc,OPINION_OPR,表示,VERB,root,VE,xCfqDulnox,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
qL-ReMplQc,OPINION_OPR,表示,VERB,root,VE,xCfqDulnox,OPINION_SEG,請,VERB,ccomp,VF,OPR->SEG,right
qL-ReMplQc,OPINION_OPR,表示,VERB,root,VE,xCfqDulnox,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
DmS5La8oSh,OPINION_OPR,表示,VERB,root,VE,5N-gkiThaP,OPINION_SRC,蔡,PROPN,nsubj,Nb,OPR->SRC,left
DmS5La8oSh,OPINION_OPR,表示,VERB,root,VE,5N-gkiThaP,OPINION_SRC,文,PART,nsubj,Na,OPR->SRC,left
DmS5La8oSh,OPINION_OPR,表示,VERB,root,VE,Vj5dablw3G,OPINION_SEG,是,AUX,parataxis,SHI,OPR->SEG,right
DmS5La8oSh,OPINION_OPR,表示,VERB,root,VE,Vj5dablw3G,OPINION_SEG,就是,VERB,parataxis,D,OPR->SEG,right
DmS5La8oSh,OPINION_OPR,表示,VERB,root,VE,Vj5dablw3G,OPINION_SEG,讓,VERB,ccomp,VL,OPR->SEG,right
DmS5La8oSh,OPINION_OPR,表示,VERB,root,VE,Vj5dablw3G,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
YT9Y7PYglJ,OPINION_OPR,表示,VERB,root,VE,xvDKraDGrU,OPINION_SRC,選區,NOUN,nsubj,Nc,OPR->SRC,left
YT9Y7PYglJ,OPINION_OPR,表示,VERB,root,VE,xvDKraDGrU,OPINION_SRC,人,PART,nsubj,Na,OPR->SRC,left
YT9Y7PYglJ,OPINION_OPR,表示,VERB,root,VE,w2rYcUe6FF,OPINION_SEG,就是,VERB,ccomp,D,OPR->SEG,right
YT9Y7PYglJ,OPINION_OPR,表示,VERB,root,VE,w2rYcUe6FF,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
YT9Y7PYglJ,OPINION_OPR,表示,VERB,root,VE,w2rYcUe6FF,OPINION_SEG,檢討,VERB,parataxis,VE,OPR->SEG,right
YT9Y7PYglJ,OPINION_OPR,表示,VERB,root,VE,w2rYcUe6FF,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
eHKhHP2hXi,OPINION_OPR,表示,VERB,advcl,VE,QMT0g8uNKj,OPINION_SRC,王,PROPN,nsubj,Nb,OPR->SRC,left
eHKhHP2hXi,OPINION_OPR,表示,VERB,advcl,VE,q96bjWsXBf,OPINION_SEG,有,VERB,ccomp,V_2,OPR->SEG,right
vDO7XZHf2A,OPINION_OPR,預告,VERB,root,VE,YJRt7062NV,OPINION_SRC,王,PROPN,nsubj,Nb,OPR->SRC,left
vDO7XZHf2A,OPINION_OPR,預告,VERB,root,VE,IIciFFVk67,OPINION_SEG,參加,VERB,parataxis,VC,OPR->SEG,right
vDO7XZHf2A,OPINION_OPR,預告,VERB,root,VE,IIciFFVk67,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
vDO7XZHf2A,OPINION_OPR,預告,VERB,root,VE,IIciFFVk67,OPINION_SEG,看到,VERB,parataxis,VE,OPR->SEG,right
vDO7XZHf2A,OPINION_OPR,預告,VERB,root,VE,IIciFFVk67,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
rDT4S8zvB2,OPINION_OPR,稱讚,VERB,root,VE,2Modo1hgPb;shQd7Tqzzo,OPINION_SRC;Coreference,侯友,NOUN,nsubj,Nb,OPR->SRC,left
rDT4S8zvB2,OPINION_OPR,稱讚,VERB,root,VE,fhAFPBGa3W,OPINION_SEG,人才,NOUN,ccomp,Na,OPR->SEG,right
rDT4S8zvB2,OPINION_OPR,稱讚,VERB,root,VE,fhAFPBGa3W,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
GiFPfWw54e,OPINION_OPR,說,VERB,parataxis,VE,fhAFPBGa3W,OPINION_SEG,期待,ADJ,ccomp,VK,,left
GiFPfWw54e,OPINION_OPR,說,VERB,parataxis,VE,A-oARVLfAG;lP0ruQtbwz,OPINION_SRC;Pronoun,侯,PROPN,nsubj,Nb,OPR->SRC,left
GiFPfWw54e,OPINION_OPR,說,VERB,parataxis,VE,bFAqpdCC2r,OPINION_SEG,服務,VERB,ccomp,VC,OPR->SEG,right
GiFPfWw54e,OPINION_OPR,說,VERB,parataxis,VE,bFAqpdCC2r,OPINION_SEG,熟悉,ADJ,ccomp,VJ,OPR->SEG,right
rDT4S8zvB2,OPINION_OPR,稱讚,VERB,root,VE,bFAqpdCC2r,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,,right
rDT4S8zvB2,OPINION_OPR,稱讚,VERB,root,VE,bFAqpdCC2r,OPINION_SEG,打拚,VERB,parataxis,VA,,right
rDT4S8zvB2,OPINION_OPR,稱讚,VERB,root,VE,bFAqpdCC2r,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,,right
u8k-M6p3MF,OPINION_OPR,表示,VERB,root,VE,KBbOhOoXqw,OPINION_SRC,王,PROPN,nsubj,Nb,OPR->SRC,left
u8k-M6p3MF,OPINION_OPR,表示,VERB,root,VE,PLuPOiI2v8,OPINION_SEG,就是,VERB,ccomp,D,OPR->SEG,right
u8k-M6p3MF,OPINION_OPR,表示,VERB,root,VE,PLuPOiI2v8,OPINION_SEG,是,VERB,parataxis,SHI,OPR->SEG,right
u8k-M6p3MF,OPINION_OPR,表示,VERB,root,VE,PLuPOiI2v8,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
rjbQCKjpEJ,OPINION_OPR,指出,VERB,root,VE,3tNUt8he6q,OPINION_SRC,主委,NOUN,nsubj,Na,OPR->SRC,left
rjbQCKjpEJ,OPINION_OPR,指出,VERB,root,VE,BvaM1zydoT,OPINION_SEG,詢問,VERB,ccomp,VE,OPR->SEG,right
rjbQCKjpEJ,OPINION_OPR,指出,VERB,root,VE,BvaM1zydoT,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
BbtOaNAsDm,OPINION_OPR,表示,VERB,root,VE,4UMgIHfJy7,OPINION_SRC,林,PROPN,nsubj,Nb,OPR->SRC,left
BbtOaNAsDm,OPINION_OPR,表示,VERB,root,VE,gevpBPK-YT,OPINION_SEG,指出,VERB,ccomp,VE,OPR->SEG,right
BbtOaNAsDm,OPINION_OPR,表示,VERB,root,VE,gevpBPK-YT,OPINION_SEG,有,VERB,ccomp,D,OPR->SEG,right
BbtOaNAsDm,OPINION_OPR,表示,VERB,root,VE,gevpBPK-YT,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
abx91z0Eia,OPINION_OPR,表示,VERB,root,VE,WgGpv-qb7C,OPINION_SRC,林,PROPN,nsubj,Nb,OPR->SRC,left
abx91z0Eia,OPINION_OPR,表示,VERB,root,VE,LKWD-aCct5,OPINION_SEG,無法,VERB,ccomp,D,OPR->SEG,right
abx91z0Eia,OPINION_OPR,表示,VERB,root,VE,LKWD-aCct5,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
abx91z0Eia,OPINION_OPR,表示,VERB,root,VE,LKWD-aCct5,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
abx91z0Eia,OPINION_OPR,表示,VERB,root,VE,LKWD-aCct5,OPINION_SEG,開不,VERB,ccomp,VC,OPR->SEG,right
abx91z0Eia,OPINION_OPR,表示,VERB,root,VE,LKWD-aCct5,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
abx91z0Eia,OPINION_OPR,表示,VERB,root,VE,LKWD-aCct5,OPINION_SEG,是,VERB,ccomp,SHI,OPR->SEG,right
abx91z0Eia,OPINION_OPR,表示,VERB,root,VE,LKWD-aCct5,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
u7lNt9u8jR,OPINION_OPR,指出,VERB,root,VE,x3kdYM_7Qq,OPINION_SRC,林恕,PROPN,nsubj,Nb,OPR->SRC,left
u7lNt9u8jR,OPINION_OPR,指出,VERB,root,VE,kwb76pglJc,OPINION_SEG,有,VERB,ccomp,V_2,OPR->SEG,right
u7lNt9u8jR,OPINION_OPR,指出,VERB,root,VE,kwb76pglJc,OPINION_SEG,導致,VERB,ccomp,VL,OPR->SEG,right
u7lNt9u8jR,OPINION_OPR,指出,VERB,root,VE,kwb76pglJc,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
wFDXYEHqtS,OPINION_OPR,表示,VERB,root,VE,modIbRuTZe,OPINION_SRC,林,PROPN,nsubj,Nb,OPR->SRC,left
wFDXYEHqtS,OPINION_OPR,表示,VERB,root,VE,fvB3LwMZgz,OPINION_SEG,看到,VERB,ccomp,VE,OPR->SRC,right
wFDXYEHqtS,OPINION_OPR,表示,VERB,root,VE,fvB3LwMZgz,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SRC,right
o0SBA0als1,OPINION_OPR,認為,VERB,root,VE,2CxJOqRHJT,OPINION_SRC,林恕,PROPN,nsubj,Nb,OPR->SRC,left
o0SBA0als1,OPINION_OPR,認為,VERB,root,VE,3cjfMRZV20,OPINION_SEG,希望,VERB,ccomp,VK,OPR->SEG,right
o0SBA0als1,OPINION_OPR,認為,VERB,root,VE,3cjfMRZV20,OPINION_SEG,有,VERB,ccomp,D,OPR->SEG,right
o0SBA0als1,OPINION_OPR,認為,VERB,root,VE,3cjfMRZV20,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
dPqvBqRVOu,OPINION_OPR,表示,VERB,root,VE,UAPjB2ujdQ,OPINION_SRC,部,PART,nsubj,Nc,OPR->SRC,left
dPqvBqRVOu,OPINION_OPR,表示,VERB,root,VE,0ejmtaZECL,OPINION_SEG,推動,VERB,ccomp,VC,OPR->SEG,right
dPqvBqRVOu,OPINION_OPR,表示,VERB,root,VE,0ejmtaZECL,OPINION_SEG,加強,VERB,ccomp,VC,OPR->SEG,right
dPqvBqRVOu,OPINION_OPR,表示,VERB,root,VE,0ejmtaZECL,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
dPqvBqRVOu,OPINION_OPR,表示,VERB,root,VE,0ejmtaZECL,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
PpxrkihIJN,OPINION_OPR,表示,VERB,root,VE,EXW5YcWO-9,OPINION_SRC,部,PART,nsubj,Nc,OPR->SRC,left
PpxrkihIJN,OPINION_OPR,表示,VERB,root,VE,fh_d45mlV_,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
PpxrkihIJN,OPINION_OPR,表示,VERB,root,VE,fh_d45mlV_,OPINION_SEG,保護,VERB,ccomp,VC,OPR->SEG,right
PpxrkihIJN,OPINION_OPR,表示,VERB,root,VE,fh_d45mlV_,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
4MxaIGIpai,OPINION_OPR,提醒,VERB,root,VE,IN8EV_XQkU,OPINION_SRC,部,PART,nsubj,Na,OPR->SRC,left
4MxaIGIpai,OPINION_OPR,提醒,VERB,root,VE,oslVjBvqtp,OPINION_SEG,保護,VERB,xcomp,VC,OPR->SEG,right
4MxaIGIpai,OPINION_OPR,提醒,VERB,root,VE,oslVjBvqtp,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
4MxaIGIpai,OPINION_OPR,提醒,VERB,root,VE,oslVjBvqtp,OPINION_SEG,守護,VERB,parataxis,VC,OPR->SEG,right
4MxaIGIpai,OPINION_OPR,提醒,VERB,root,VE,oslVjBvqtp,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
l0p9OSyWf8,OPINION_OPR,表示,VERB,root,VE,F4VKMyfPG2,OPINION_SRC,謝,PROPN,nsubj,Nb,OPR->SRC,left
l0p9OSyWf8,OPINION_OPR,表示,VERB,root,VE,GFCmw2hor1,OPINION_SEG,成立,VERB,ccomp,VC,OPR->SEG,right
l0p9OSyWf8,OPINION_OPR,表示,VERB,root,VE,GFCmw2hor1,OPINION_SEG,也有,VERB,ccomp,D,OPR->SEG,right
l0p9OSyWf8,OPINION_OPR,表示,VERB,root,VE,GFCmw2hor1,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
wZTVLFN3il,OPINION_OPR,說,VERB,root,VE,y1jwy47I2k,OPINION_SRC,謝,PROPN,nsubj,Nb,OPR->SRC,left
wZTVLFN3il,OPINION_OPR,說,VERB,root,VE,PK-T8p41Qh,OPINION_SEG,討論,VERB,ccomp,VE,OPR->SEG,right
wZTVLFN3il,OPINION_OPR,說,VERB,root,VE,PK-T8p41Qh,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
XeqM_1pOBY,OPINION_OPR,表示,VERB,root,VE,Is5dv2wjnX,OPINION_SRC,江,PROPN,nsubj,Nb,OPR->SRC,left
XeqM_1pOBY,OPINION_OPR,表示,VERB,root,VE,HtHs_Ck2kS,OPINION_SEG,事實,NOUN,ccomp,Na,OPR->SEG,right
XeqM_1pOBY,OPINION_OPR,表示,VERB,root,VE,HtHs_Ck2kS,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
XeqM_1pOBY,OPINION_OPR,表示,VERB,root,VE,HtHs_Ck2kS,OPINION_SEG,臆測,NOUN,ccomp,Nv,OPR->SEG,right
XeqM_1pOBY,OPINION_OPR,表示,VERB,root,VE,HtHs_Ck2kS,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
0bpIkOzX1O,OPINION_OPR,表示,VERB,root,VE,lXl6-GDKJO,OPINION_SEG,很久,ADJ,parataxis,Dfa,OPR->SEG,right
0bpIkOzX1O,OPINION_OPR,表示,VERB,root,VE,lXl6-GDKJO,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
0bpIkOzX1O,OPINION_OPR,表示,VERB,root,VE,lXl6-GDKJO,OPINION_SEG,就是,VERB,parataxis,Cbb,OPR->SEG,right
0bpIkOzX1O,OPINION_OPR,表示,VERB,root,VE,lXl6-GDKJO,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
FxEOiYbLDw,OPINION_OPR,表示,VERB,root,VE,H5l3HvhQUN,OPINION_SRC,江,PROPN,nsubj,Nb,OPR->SRC,left
FxEOiYbLDw,OPINION_OPR,表示,VERB,root,VE,b7nUAq7tra,OPINION_SEG,有,VERB,ccomp,V_2,OPR->SEG,right
FxEOiYbLDw,OPINION_OPR,表示,VERB,root,VE,b7nUAq7tra,OPINION_SEG,事情,NOUN,ccomp,Na,OPR->SEG,right
FxEOiYbLDw,OPINION_OPR,表示,VERB,root,VE,b7nUAq7tra,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
1DumnfvsF0,OPINION_OPR,指出,VERB,root,VE,yRCCuoTeIj,OPINION_SRC,江,PROPN,nsubj,Nb,OPR->SRC,left
1DumnfvsF0,OPINION_OPR,指出,VERB,root,VE,6InOBpxC63,OPINION_SEG,建議,VERB,ccomp,VE,OPR->SEG,right
1DumnfvsF0,OPINION_OPR,指出,VERB,root,VE,6InOBpxC63,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
1DumnfvsF0,OPINION_OPR,指出,VERB,root,VE,6InOBpxC63,OPINION_SEG,恐怕,VERB,ccomp,D,OPR->SEG,right
1DumnfvsF0,OPINION_OPR,指出,VERB,root,VE,6InOBpxC63,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
RdaVUtNTQP,OPINION_OPR,稱,VERB,root,VG,Qz6YuwY4X_,OPINION_SRC,江,PROPN,nsubj,Nb,OPR->SRC,left
RdaVUtNTQP,OPINION_OPR,稱,VERB,root,VG,ijsb0RfjxP,OPINION_SEG,假設,NOUN,ccomp,Na,OPR->SEG,right
RdaVUtNTQP,OPINION_OPR,稱,VERB,root,VG,ijsb0RfjxP,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
RdaVUtNTQP,OPINION_OPR,稱,VERB,root,VG,ijsb0RfjxP,OPINION_SEG,去選,VERB,ccomp,D,OPR->SEG,right
RdaVUtNTQP,OPINION_OPR,稱,VERB,root,VG,ijsb0RfjxP,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
m1JZ5u1055,OPINION_OPR,說,VERB,root,VE,0oTNoIu9R8,OPINION_SRC,江,PROPN,nsubj,Nb,OPR->SRC,left
m1JZ5u1055,OPINION_OPR,說,VERB,root,VE,ctrLduI7TK,OPINION_SEG,事情,NOUN,ccomp,Na,OPR->SEG,right
m1JZ5u1055,OPINION_OPR,說,VERB,root,VE,ctrLduI7TK,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
MNiQHfzjsP,OPINION_OPR,喊話,VERB,advcl,VA,Jy_ATsj44e,OPINION_SRC,人,NOUN,nsubj,Na,OPR->SRC,left
qN9YnyDumL,OPINION_OPR,強調,VERB,advcl,VE,Wlba1GTXtV,OPINION_SRC,趙,PROPN,nsubj,Nb,OPR->SRC,left
YqRKazN2oh,OPINION_OPR,質疑,VERB,advcl,VE,BUGHRQmL1f,OPINION_SRC,趙,PROPN,nsubj,Nb,OPR->SRC,left
sqLirc-OHZ,OPINION_OPR,批評,VERB,root,VC,0KchxBPXSC,OPINION_SRC,趙,PROPN,nsubj,Nb,OPR->SRC,left
sqLirc-OHZ,OPINION_OPR,批評,VERB,root,VC,VxXI-QA6am,OPINION_SEG,知道,VERB,parataxis,VK,OPR->SEG,right
Wy3n7y1NqR,OPINION_OPR,聲稱,VERB,parataxis,VE,HdgjD8DAAe,OPINION_SRC,趙,PROPN,nsubj,Nb,OPR->SRC,left
U4KW-UvdwJ,OPINION_OPR,說,VERB,root,VE,VfCcjGrOKE,OPINION_SRC,趙,PROPN,nsubj,Nb,OPR->SRC,left
U4KW-UvdwJ,OPINION_OPR,說,VERB,root,VE,bVNaoEI3hU,OPINION_SEG,變成,VERB,ccomp,VG,OPR->SEG,right
U4KW-UvdwJ,OPINION_OPR,說,VERB,root,VE,bVNaoEI3hU,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
azCuzeJUBd,OPINION_OPR,表示,VERB,root,VE,rts0R_dnjD,OPINION_SRC,宋,PROPN,nsubj,Nb,OPR->SRC,left
azCuzeJUBd,OPINION_OPR,表示,VERB,root,VE,ySi-QabUHX,OPINION_SEG,缺席,VERB,parataxis,VH,OPR->SEG,right
azCuzeJUBd,OPINION_OPR,表示,VERB,root,VE,ySi-QabUHX,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
ddy-AuJs8D,OPINION_OPR,談到,VERB,advcl,VE,2omRyvhUii,OPINION_SRC,宋,PROPN,nsubj,Nb,OPR->SRC,left
ddy-AuJs8D,OPINION_OPR,談到,VERB,advcl,VE,eFF9UTR1W2,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
y2kpC_Vm2j,OPINION_OPR,說,VERB,root,VE,52iF5dQiEt,OPINION_SRC,宋,PROPN,nsubj,Nb,OPR->SRC,left
y2kpC_Vm2j,OPINION_OPR,說,VERB,root,VE,U-VI0rTNSH,OPINION_SEG,創,VERB,xcomp,VC,OPR->SEG,right
y2kpC_Vm2j,OPINION_OPR,說,VERB,root,VE,U-VI0rTNSH,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
7WIA39lM3V,OPINION_OPR,表示,VERB,root,VE,Mpqz0pxjrl,OPINION_SRC,立委,NOUN,nsubj,Na,OPR->SRC,left
7WIA39lM3V,OPINION_OPR,表示,VERB,root,VE,YNpE7VIGxz,OPINION_SEG,表達,VERB,ccomp,VC,OPR->SEG,right
7WIA39lM3V,OPINION_OPR,表示,VERB,root,VE,YNpE7VIGxz,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
HyMAqQCtAZ,OPINION_OPR,指出,VERB,root,VE,FZO4Y7hf0W,OPINION_SRC,劉,PROPN,nsubj,Nb,OPR->SRC,left
HyMAqQCtAZ,OPINION_OPR,指出,VERB,root,VE,ppAbWn2Sif,OPINION_SEG,希望,VERB,ccomp,VK,OPR->SEG,right
HyMAqQCtAZ,OPINION_OPR,指出,VERB,root,VE,ppAbWn2Sif,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
HyMAqQCtAZ,OPINION_OPR,指出,VERB,root,VE,ppAbWn2Sif,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
Rlihv_NrW_,OPINION_OPR,強調,VERB,root,VE,zlJdchlK18,OPINION_SRC,劉,PROPN,nsubj,Nb,OPR->SRC,left
Rlihv_NrW_,OPINION_OPR,強調,VERB,root,VE,H4gQ14TMAQ,OPINION_SEG,表達,VERB,parataxis,VC,OPR->SEG,right
Rlihv_NrW_,OPINION_OPR,強調,VERB,root,VE,H4gQ14TMAQ,OPINION_SEG,呼籲,VERB,ccomp,VE,OPR->SEG,right
